date,city,precip_mm,rainy_day,year,month
2019-03-04,New Orleans,0.7619999999999999,1,2019,3
2019-03-05,New Orleans,0.0,0,2019,3
2019-03-06,New Orleans,0.0,0,2019,3
2019-03-07,New Orleans,0.0,0,2019,3
2019-03-08,New Orleans,0.0,0,2019,3
2019-03-09,New Orleans,0.0,0,2019,3
2019-03-10,New Orleans,0.0,0,2019,3
2019-03-11,New Orleans,0.0,0,2019,3
2019-03-12,New Orleans,0.0,0,2019,3
2019-03-13,New Orleans,0.0,0,2019,3
2019-03-14,New Orleans,1.778,1,2019,3
2019-03-15,New Orleans,10.413999999999998,1,2019,3
2019-03-16,New Orleans,6.604,1,2019,3
2019-03-17,New Orleans,0.0,0,2019,3
2019-03-18,New Orleans,0.0,0,2019,3
2019-03-19,New Orleans,0.0,0,2019,3
2019-03-20,New Orleans,0.0,0,2019,3
2019-03-21,New Orleans,0.0,0,2019,3
2019-03-22,New Orleans,0.0,0,2019,3
2019-03-23,New Orleans,0.0,0,2019,3
2019-03-24,New Orleans,0.0,0,2019,3
2019-03-25,New Orleans,0.0,0,2019,3
2019-03-26,New Orleans,0.0,0,2019,3
2019-03-27,New Orleans,0.0,0,2019,3
2019-03-28,New Orleans,0.0,0,2019,3
2019-03-29,New Orleans,0.0,0,2019,3
2019-03-30,New Orleans,0.0,0,2019,3
2019-03-31,New Orleans,4.3180000000000005,1,2019,3
2019-04-01,New Orleans,0.0,0,2019,4
2019-04-02,New Orleans,0.0,0,2019,4
2019-04-03,New Orleans,0.0,0,2019,4
2019-04-04,New Orleans,89.408,1,2019,4
2019-04-05,New Orleans,11.684,1,2019,4
2019-04-06,New Orleans,0.0,0,2019,4
2019-04-07,New Orleans,7.874,1,2019,4
2019-04-08,New Orleans,0.254,1,2019,4
2019-04-09,New Orleans,0.0,0,2019,4
2019-04-10,New Orleans,0.0,0,2019,4
2019-04-11,New Orleans,0.0,0,2019,4
2019-04-12,New Orleans,0.0,0,2019,4
2019-04-13,New Orleans,1.778,1,2019,4
2019-04-14,New Orleans,3.8099999999999996,1,2019,4
2019-04-15,New Orleans,0.0,0,2019,4
2019-04-16,New Orleans,0.0,0,2019,4
2019-04-17,New Orleans,0.0,0,2019,4
2019-04-18,New Orleans,10.668,1,2019,4
2019-04-19,New Orleans,0.0,0,2019,4
2019-04-20,New Orleans,0.0,0,2019,4
2019-04-21,New Orleans,0.0,0,2019,4
2019-04-22,New Orleans,0.0,0,2019,4
2019-04-23,New Orleans,0.0,0,2019,4
2019-04-24,New Orleans,0.0,0,2019,4
2019-04-25,New Orleans,47.498,1,2019,4
2019-04-26,New Orleans,0.0,0,2019,4
2019-04-27,New Orleans,0.0,0,2019,4
2019-04-28,New Orleans,0.0,0,2019,4
2019-04-29,New Orleans,0.0,0,2019,4
2019-04-30,New Orleans,0.0,0,2019,4
2019-05-01,New Orleans,0.0,0,2019,5
2019-05-02,New Orleans,0.0,0,2019,5
2019-05-03,New Orleans,0.0,0,2019,5
2019-05-04,New Orleans,32.512,1,2019,5
2019-05-05,New Orleans,0.0,0,2019,5
2019-05-06,New Orleans,0.0,0,2019,5
2019-05-07,New Orleans,0.0,0,2019,5
2019-05-08,New Orleans,0.254,1,2019,5
2019-05-09,New Orleans,2.794,1,2019,5
2019-05-10,New Orleans,12.953999999999999,1,2019,5
2019-05-11,New Orleans,53.339999999999996,1,2019,5
2019-05-12,New Orleans,75.184,1,2019,5
